IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
44.224.24.91,443,443,true,SEA,North America,US,Seattle,328,9.10
54.187.158.10,443,443,true,SEA,North America,US,Seattle,221,9.10
13.53.81.150,2083,443,true,ARN,Europe,SE,Stockholm,240,9.10
54.148.8.105,443,443,true,SEA,North America,US,Seattle,236,9.10
44.244.226.104,443,443,true,SEA,North America,US,Seattle,242,9.09
54.187.6.83,443,443,true,PDX,North America,US,Portland,262,9.08
67.226.221.182,80,443,true,SJC,North America,US,San Jose,459,9.08
67.226.221.98,80,443,true,SJC,North America,US,San Jose,462,9.08
54.190.232.210,443,443,true,SEA,North America,US,Seattle,221,9.07
51.44.173.69,443,443,true,CDG,Europe,FR,Paris,246,9.07
54.219.247.184,80,443,true,SJC,North America,US,San Jose,244,9.07
51.20.161.26,443,443,true,ARN,Europe,SE,Stockholm,372,9.06
44.244.79.204,443,443,true,SEA,North America,US,Seattle,256,9.06
54.187.136.218,443,443,true,SEA,North America,US,Seattle,215,9.05
67.226.221.123,80,443,true,SJC,North America,US,San Jose,465,9.05
51.20.207.0,443,443,true,ARN,Europe,SE,Stockholm,262,9.03
44.245.225.216,443,443,true,SEA,North America,US,Seattle,348,9.03
3.68.197.87,8080,443,true,FRA,Europe,DE,Frankfurt,318,9.03
52.42.71.111,443,443,true,PDX,North America,US,Portland,309,9.02
67.226.221.242,80,443,true,SJC,North America,US,San Jose,559,9.01
54.212.147.246,443,443,true,PDX,North America,US,Portland,276,8.99
13.39.183.186,2053,443,true,CDG,Europe,FR,Paris,278,8.98
35.89.32.234,443,443,true,PDX,North America,US,Portland,319,8.97
44.243.186.196,443,443,true,SEA,North America,US,Seattle,239,8.96
54.187.46.241,443,443,true,PDX,North America,US,Portland,248,8.95
44.243.159.243,443,443,true,PDX,North America,US,Portland,254,8.94
44.245.176.163,8443,443,true,SEA,North America,US,Seattle,287,8.93
52.43.17.182,443,443,true,PDX,North America,US,Portland,340,8.92
54.191.153.26,443,443,true,SEA,North America,US,Seattle,216,8.91
44.244.201.181,443,443,true,SEA,North America,US,Seattle,305,8.91
